Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR
2026-02-06,25605.80078125,25703.94921875,25491.900390625,25693.69921875,375500,25497.14267578125,25831.23515625,25569.450820453596,49.9869028506162,-75.54908285102647,-133.24036395974048,57.69128110871401,26029.66462904175,24964.620722520754,4.177110824000831,369.12820870535717
2026-02-09,25888.69921875,25922.25,25780.900390625,25867.30078125,359400,25496.665234375,25824.47515625,25597.817483386585,55.53049549915595,-43.23187240540574,-115.23866564887354,72.0067932434678,26027.769021330925,24965.561447419073,4.16606471531723,371.1675502232143
2026-02-10,25922.650390625,25989.44921875,25870.44921875,25935.150390625,460900,25509.25771484375,25818.8671484375,25629.944426933103,65.52785031400393,-12.00694526960433,-94.5923215730197,82.58537630341537,26070.103570028863,24948.411859658634,4.397194629922612,350.31026785714283
2026-02-11,25997.44921875,26009.400390625,25899.80078125,25953.849609375,331400,25517.4376953125,25813.88515625,25660.792539546615,68.04759919227973,14.08553583702087,-72.85675009101159,86.94228592803246,26099.895354912736,24934.980035712262,4.565173561350428,330.91392299107144
2026-02-12,25906.69921875,25906.69921875,25752.400390625,25807.19921875,419400,25521.1826171875,25806.514140625,25674.73603280408,61.64826127302873,22.669237328398594,-53.751552607129554,76.42078993552815,26110.381091619623,24931.984142755377,4.6173289323616356,325.4281529017857
2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500,25511.4576171875,25795.2921484375,25655.3420877156,59.12280316974536,2.3246558421196823,-42.53631091727971,44.86096675939939,26097.02904810129,24925.886186273714,4.590654440060517,328.3031529017857
2026-02-16,25423.599609375,25697.0,25372.69921875,25682.75,275800,25510.87763671875,25789.2271484375,25657.952365076017,60.56869122413293,3.2424689629260683,-33.38055494123855,36.62302390416462,26095.70885850624,24926.046414931257,4.584955720580327,329.0318080357143
2026-02-17,25637.94921875,25764.400390625,25570.30078125,25725.400390625,344100,25517.87265625,25783.06015625,25664.37598655687,58.40787035407838,7.326912466829526,-25.23906145962494,32.56597392645446,26109.765927082517,24925.979385417486,4.639048707593148,328.8461216517857
2026-02-18,25752.650390625,25828.05078125,25645.150390625,25819.349609375,310200,25547.21513671875,25775.7181640625,25679.135379206215,58.73066971897318,17.938002035793033,-16.603648760541343,34.54165079633438,26137.725172535072,24956.70510090243,4.622891635398551,320.59974888392856
2026-02-19,25873.349609375,25885.30078125,25388.75,25454.349609375,298200,25562.0576171875,25765.594140625,25657.72721065086,52.611213256330245,-3.069697043065389,-13.896858417046154,10.827161373980765,26125.63176030413,24998.48347407087,4.409458358607984,341.40694754464283
2026-02-20,25406.55078125,25663.55078125,25379.75,25571.25,296600,25576.12509765625,25760.2261328125,25649.491285826967,59.87524276769957,-10.168350949086744,-13.151156923454272,2.982805974367528,26124.94817988674,25027.302015425765,4.291682810706771,315.87486049107144
2026-02-23,25678.400390625,25771.44921875,25609.349609375,25713.0,313700,25609.342578125,25759.3261328125,25655.539734795828,49.626394876043335,-4.306403428745398,-11.382206224512498,7.0758027957671,26101.206773376118,25117.478382873884,3.8412871689354326,240.68917410714286
2026-02-24,25641.80078125,25641.80078125,25327.599609375,25424.650390625,439100,25621.805078125,25749.848125,25633.550273446224,41.96822669753927,-22.66688172130671,-13.63914132387134,-9.027740397435368,26078.76723021752,25164.842926032477,3.566978600447315,250.03194754464286
2026-02-25,25512.599609375,25652.599609375,25428.19921875,25482.5,414200,25628.792578125,25738.559140625,25619.164533118015,46.2048179400199,-32.17877614030658,-17.34706828715839,-14.831707853148192,26071.85039902852,25185.734757221482,3.4575005400893013,252.2783203125
2026-02-26,25556.30078125,25572.94921875,25400.94921875,25496.55078125,405200,25632.67509765625,25727.944140625,25607.48703294011,45.24955149817494,-38.14354533023652,-21.506363695774017,-16.637181634462504,26069.302793684972,25196.04740162753,3.406805527439037,249.41768973214286
2026-02-27,25459.849609375,25476.400390625,25141.30078125,25178.650390625,438900,25625.57509765625,25714.31515625,25566.645447957715,34.48531074788768,-67.74168858780831,-30.753428674180874,-36.98825991362744,26087.45423547178,25163.695959840716,3.604829441332437,258.46763392857144
2026-03-02,24659.25,24989.349609375,24603.5,24865.69921875,519200,25614.4400390625,25695.258125,25499.888664223647,28.30244753720679,-115.12389785841151,-47.627522511027,-67.49637534738451,26137.528740432703,25091.3513376923,4.084326657717141,290.82491629464283
2026-03-04,24388.80078125,24602.44921875,24305.400390625,24480.5,599000,25552.0875,25668.557109375,25402.80402953568,23.97783430508325,-181.66290094383294,-74.4345981975882,-107.22830274624474,26276.833944194634,24827.34105580537,5.672698515881587,323.01771763392856
2026-03-05,24615.94921875,24854.19921875,24529.400390625,24765.900390625,504300,25501.58251953125,25644.547109375,25342.146540115617,32.46795270199614,-208.95738330056702,-101.33915521818398,-107.61822808238304,26297.87802035714,24705.28701870536,6.245067342122949,335.3212890625
2026-03-06,24656.400390625,24700.900390625,24415.75,24450.44921875,433400,25441.96494140625,25610.1080859375,25257.222985699842,32.695284171625545,-253.12486457521663,-131.69629708959053,-121.4285674856261,26362.578523770302,24521.3513590422,7.236969192310864,334.4107142857143
2026-03-09,23868.05078125,24078.150390625,23697.80078125,24028.05078125,526900,25358.68251953125,25567.12609375,25140.158966228428,23.816399619734725,-318.54000458156224,-169.06503858798487,-149.47496599357737,26465.8675103208,24251.497528741696,8.732196476980212,365.00697544642856
2026-03-10,24280.80078125,24303.80078125,24079.94921875,24261.599609375,444300,25278.3974609375,25529.51609375,25056.4866465281,28.156786305097242,-347.5304213790514,-204.75811514619818,-142.77230623285323,26460.61775665462,24096.17716522038,9.353601608203183,370.83914620535717
2026-03-11,24231.849609375,24299.0,23834.30078125,23866.849609375,0,25174.982421875,25486.0070703125,24943.187881084952,23.264411885526485,-397.7732787402856,-243.3611478650157,-154.4121308752699,26471.622813659844,23878.342030090156,10.301023214682917,390.96763392857144
