Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-12-19,25966.400390625,25993.349609375,25880.44921875,25911.5,382900,25993.69267578125,25836.414140625,25929.986161619196,25921.049115944443,42.97411775810466,8.93704567475288,38.19369469793979,-29.25664902318691,25993.69267578125,144.851603692821,26283.395883166893,25703.989468395608
2025-12-22,26172.400390625,26180.69921875,26047.80078125,26055.849609375,253000,26004.3376953125,25856.2261328125,25967.280658389318,25939.667728883745,54.5159321820641,27.612929505572538,36.07754165946634,-8.464612153893803,26004.3376953125,149.94011685484406,26304.21792902219,25704.45746160281
2025-12-23,26177.150390625,26233.55078125,26119.05078125,26205.19921875,216600,26018.95517578125,25874.0621484375,25999.568309502498,25957.259037160875,56.325940174752084,42.309272341623,37.323887795897676,4.985384545725324,26018.95517578125,151.91072054940426,26322.77661688006,25715.133734682444
2025-12-24,26142.099609375,26236.400390625,26123.0,26170.650390625,188800,26015.7951171875,25892.3571484375,26021.49620179058,25970.95093139896,53.616122004925366,50.54527039161985,39.96816431504212,10.577106076577735,26015.7951171875,148.44822254883064,26312.69156228516,25718.89867208984
2025-12-26,26042.30078125,26144.19921875,26008.599609375,26121.25,142200,26007.1326171875,25910.2931640625,26024.696906322795,25976.236105461998,45.01301411145917,48.46080086079746,41.66669162419319,6.794109236604271,26007.1326171875,141.04871639886414,26289.230049985228,25725.035184389773
2025-12-29,25942.099609375,26106.80078125,25920.30078125,26063.349609375,234300,25994.09013671875,25922.664140625,26011.98962986929,25973.707476122217,49.30085300817485,38.28215374707361,40.98978404876928,-2.707630301695673,25994.09013671875,133.8662121357055,26261.82256099016,25726.35771244734
2025-12-30,25938.849609375,25976.75,25878.0,25940.900390625,396900,25982.2451171875,25929.7351171875,26000.737319024018,25971.125411918718,54.12677209882802,29.611907105299906,38.71420866007541,-9.1023015547755,25982.2451171875,127.26437721688059,26236.773871621263,25727.716362753737
2025-12-31,26129.599609375,26187.94921875,25969.0,25971.05078125,246300,25987.11513671875,25938.1301171875,26020.562286770324,25982.864241359923,64.17239370648852,37.69804541040139,38.51097601014061,-0.812930599739218,25987.11513671875,131.08289959528312,26249.280935909315,25724.94933752818
2026-01-01,26146.55078125,26197.55078125,26113.400390625,26173.30078125,425600,25995.14267578125,25944.198125,26039.94513207489,25994.989170240668,60.44299841433807,44.95596183422094,39.799973174956676,5.155988659264267,25995.14267578125,135.8407462142865,26266.824168209823,25723.46118335268
2026-01-02,26328.55078125,26340.0,26118.400390625,26155.099609375,357500,26009.88271484375,25953.3971484375,26084.34600117875,26019.69743772284,61.53159551597052,64.64856345591033,44.76969123114741,19.878872224762922,26009.88271484375,154.90685190694427,26319.696418657637,25700.06901102986
2026-01-05,26250.30078125,26373.19921875,26210.05078125,26333.69921875,338800,26013.07529296875,25960.57515625,26109.877505805096,26036.779166873,58.71364987880749,73.09833893209725,50.43542077133738,22.662918160759872,26013.07529296875,159.33212380331767,26331.739540575385,25694.411045362118
2026-01-06,26178.69921875,26273.94921875,26124.75,26189.69921875,383000,26023.98271484375,25968.2461328125,26120.465461642772,26047.29176330833,63.45435320161859,73.17369833444172,54.98307628395825,18.190622050483476,26023.98271484375,162.97252129674703,26349.927757437246,25698.037672250255
2026-01-07,26140.75,26187.150390625,26067.900390625,26143.099609375,338200,26039.0376953125,25971.7401171875,26123.586159851577,26054.21459565586,63.64785576951715,69.37156419571693,57.860773866309984,11.510790329406944,26039.0376953125,158.90479699478774,26356.847289302077,25721.228101322926
