Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2026-01-04,91413.4921875,91712.5859375,90595.1015625,90603.0,26770491368,88098.99921875,,89057.04813054217,88903.04985791369,65.17304016189422,153.99827262847975,-343.49058108792764,497.4888537164074,88098.99921875,1376.8277995339604,90852.65481781792,85345.34361968208
2026-01-05,93882.5546875,94762.0703125,91414.625,91414.625,53376407252,88400.927734375,,89799.43375468953,89271.90206751268,73.37061372471875,527.5316871768446,-169.28612743497322,696.8178146118178,88400.927734375,1885.9411404618666,92172.81001529873,84629.04545345127
2026-01-06,93729.03125,94395.296875,91286.546875,93876.9453125,52430605257,88780.19140625,,90403.98721550652,89602.05978473397,79.74714755295298,801.9274307725573,24.95658420653288,776.9708465660244,88780.19140625,2152.058477015134,93084.30836028027,84476.07445221973
2026-01-07,91308.0546875,93738.7890625,90601.8046875,93727.46875,43461295053,89072.46875,,90543.07451889013,89728.42977753145,64.39565629100221,814.6447413586866,182.89421563696365,631.750525721723,89072.46875,2073.267260152996,93219.003270306,84925.934229694
2026-01-08,91027.125,91485.8515625,89233.875,91309.640625,42386697030,89218.655859375,,90617.54382367627,89824.62942364023,64.88231193117332,792.9144000360393,304.8982525167788,488.01614751926047,89218.655859375,2104.1868737162954,93427.02960680758,85010.2821119424
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684,89327.1109375,,90601.4757834953,89875.62735985206,62.175959548330766,725.8484236432414,389.0882867420714,336.76013690117003,89327.1109375,2112.615768456087,93552.34247441217,85101.87940058782
2026-01-10,90386.6484375,90713.03125,90283.3984375,90510.1015625,12385895282,89415.355859375,,90568.42542257295,89913.48077301118,60.08440274571082,654.944649561774,442.25955930601197,212.68509025576202,89415.355859375,2118.4540621390765,93652.26398365316,85178.44773509685
2026-01-11,90827.4609375,91155.2265625,90212.0234375,90385.359375,17165568977,89532.228125,,90608.27704025403,89981.18300741776,61.31353909134313,627.0940328362776,479.2264540120651,147.8675788242125,89532.228125,2129.167224494173,93790.56257398834,85273.89367601165
2026-01-12,91192.9921875,92395.5234375,90055.0234375,90825.859375,41346275358,89721.177734375,,90698.23321675342,90070.9466503868,65.72955831126535,627.2865663666162,508.83847648297535,118.44808988364082,89721.177734375,2098.757979972104,93918.69369431921,85523.66177443079
2026-01-13,95321.78125,96011.625,90941.9296875,91185.3359375,54980674354,90106.66875,,91409.54829879136,90459.89736146927,71.91154020220205,949.6509373220906,597.0009686507984,352.6499686712922,90106.66875,2380.1461022370954,94866.96095447418,85346.37654552581
2026-01-14,96929.328125,97860.6015625,94583.046875,95322.90625,60592490863,90591.398046875,89930.04796875,92258.74519513115,90939.11445506413,78.69949009318461,1319.6307400670194,741.5269229340427,578.1038171329767,90591.398046875,2726.4617791852056,96044.32160524541,85138.47448850458
2026-01-15,95551.1875,97150.171875,95103.2421875,96931.2890625,53086363027,91003.8859375,90030.704375,92765.27478049559,91280.74949542976,70.58031306027405,1484.525285065829,890.1265953604,594.398689705429,91003.8859375,2824.805323978729,96653.49658545745,85354.27528954255
